rank,title,rating,rate_count,year,country,genre,director
46,飞屋环游记,9.0,1689654,2009,美国,动画/剧情/冒险,鲍勃·彼德森
47,大话西游之月光宝盒,9.0,1589654,1995,中国香港,剧情/喜剧/奇幻,刘镇伟
48,摔跤吧！爸爸,9.0,1789654,2016,印度,剧情/传记/运动,涅提·蒂瓦里
49,少年派的奇幻漂流,9.1,1489654,2012,美国,剧情/奇幻/冒险,李安
50,大话西游,9.2,1865987,1995,中国香港,喜剧/奇幻,刘镇伟
51,傲慢与偏见,8.7,1389654,2005,英国,剧情,乔·赖特
52,美丽心灵,9.1,1289654,2001,美国,剧情/传记,朗·霍华德
53,剪刀手爱德华,8.7,1689654,1990,美国,剧情/奇幻,蒂姆·波顿
54,疯狂动物城,9.2,2089654,2016,美国,动画/喜剧/冒险,拜伦·霍华德
55,穿条纹睡衣的男孩,9.0,989654,2008,美国,剧情/战争,马克·赫尔曼
56,菊次郎的夏天,9.3,1289654,1999,日本,剧情/喜剧,北野武
57,天使爱美丽,8.7,1489654,2001,法国,剧情/喜剧,让-皮埃尔·热内
58,七宗罪,8.8,1589654,1995,美国,剧情/悬疑/犯罪,大卫·芬奇
59,忠犬八公物语,9.2,889654,1987,日本,剧情,神山征二郎
60,哈尔的移动城堡,9.1,1725689,2004,日本,动画/奇幻/冒险,宫崎骏
61,超能陆战队,8.7,1589654,2014,美国,动画/喜剧/科幻,唐·霍尔
62,龙猫,9.2,1689745,1988,日本,动画/奇幻/冒险,宫崎骏
63,乱世佳人,9.3,968542,1939,美国,剧情/历史,维克多·弗莱明
64,当幸福来敲门,9.1,1865248,2006,美国,剧情/传记,加布里尔·穆奇诺
65,让子弹飞,9.0,1986542,2010,中国大陆,剧情/喜剧/动作,姜文
66,怦然心动,9.1,2015689,2010,美国,剧情,罗伯·莱纳
67,末代皇帝,9.3,1025689,1987,英国/意大利/中国大陆,剧情/传记/历史,贝纳尔多·贝托鲁奇
68,寻梦环游记,9.1,1896542,2017,美国,动画/音乐/奇幻,李·昂克里奇
69,哈利·波特与魔法石,9.1,1756892,2001,美国,奇幻/冒险,克里斯·哥伦布
70,我不是药神,9.0,2236598,2018,中国大陆,剧情/喜剧,文牧野
71,死亡诗社,9.1,1256987,1989,美国,剧情,彼得·威尔
72,复仇者联盟4：终局之战,8.5,2659874,2019,美国,动作/科幻/奇幻,罗素兄弟
73,蝙蝠侠：黑暗骑士,9.2,1856987,2008,美国,剧情/动作/科幻,克里斯托弗·诺兰
74,阿凡达,8.8,2156987,2009,美国,动作/科幻/冒险,詹姆斯·卡梅隆
75,寄生虫,8.8,1569874,2019,韩国,剧情/喜剧/悬疑,奉俊昊
76,活着,9.3,1456987,1994,中国大陆,剧情/历史,张艺谋
77,闻香识女人,9.1,1356987,1992,美国,剧情,马丁·布莱斯特
78,罗马假日,9.1,1589654,1953,美国,剧情,威廉·惠勒
79,何以为家,9.1,1489654,2018,黎巴嫩,剧情,娜丁·拉巴基
80,飞屋环游记,9.0,1689654,2009,美国,动画/剧情/冒险,鲍勃·彼德森
81,摔跤吧！爸爸,9.0,1789654,2016,印度,剧情/传记/运动,涅提·蒂瓦里
82,少年派的奇幻漂流,9.1,1489654,2012,美国,剧情/奇幻/冒险,李安
83,傲慢与偏见,8.7,1389654,2005,英国,剧情,乔·赖特
84,美丽心灵,9.1,1289654,2001,美国,剧情/传记,朗·霍华德
85,剪刀手爱德华,8.7,1689654,1990,美国,剧情/奇幻,蒂姆·波顿
86,疯狂动物城,9.2,2089654,2016,美国,动画/喜剧/冒险,拜伦·霍华德
87,穿条纹睡衣的男孩,9.0,989654,2008,美国,剧情/战争,马克·赫尔曼
88,菊次郎的夏天,9.3,1289654,1999,日本,剧情/喜剧,北野武
89,天使爱美丽,8.7,1489654,2001,法国,剧情/喜剧,让-皮埃尔·热内
90,七宗罪,8.8,1589654,1995,美国,剧情/悬疑/犯罪,大卫·芬奇
91,忠犬八公物语,9.2,889654,1987,日本,剧情,神山征二郎
92,超能陆战队,8.7,1589654,2014,美国,动画/喜剧/科幻,唐·霍尔
93,西西里的美丽传说,8.7,1489654,2000,意大利,剧情/情色,托纳多雷
94,禁闭岛,8.8,1689654,2010,美国,剧情/悬疑/惊悚,马丁·斯科塞斯
95,迷雾,7.9,1089654,2007,美国,剧情/科幻/惊悚,弗兰克·德拉邦特
96,心灵捕手,9.0,1389654,1997,美国,剧情,格斯·范·桑特
97,大话西游之仙履奇缘,9.2,1865987,1995,中国香港,喜剧,刘镇伟
98,岁月神偷,8.9,1289654,2010,中国香港,剧情/家庭,罗启锐
99,萤火虫之墓,9.2,989654,1988,日本,动画/剧情/战争,高畑勋
100,源代码,8.5,1389654,2011,美国,科幻/悬疑/惊悚,邓肯·琼斯
